n
"(:Estudiante {nombre: ""Nombre del Estudiante""})"
"(:Tutor {nombre: ""Nombre del Tutor""})"
"(:Materia {nombre: ""Nombre de la Materia""})"
"(:TiempoDisponible {dia: ""Lunes""})"
"(:TiempoDisponible {dia: ""Martes""})"
"(:TiempoDisponible {dia: ""Miércoles""})"
"(:TiempoDisponible {dia: ""Jueves""})"
"(:TiempoDisponible {dia: ""Viernes""})"
"(:TiempoDisponible {dia: ""Sábado""})"
"(:TiempoDisponible {dia: ""Domingo""})"
"(:Dinero {rango: ""0-20""})"
"(:Dinero {rango: ""21-40""})"
"(:Dinero {rango: ""41-60""})"
"(:Dinero {rango: ""61-80""})"
"(:Dinero {rango: ""81-100""})"
"(:Modalidad {tipo: ""Presencial""})"
"(:Modalidad {tipo: ""Virtual""})"
"(:TeachingMethod {metodo: ""Práctico""})"
"(:TeachingMethod {metodo: ""Teórico""})"
